pb_id,source_id,product_desc,pf_id,paralog_count,ortholog_count,gene_name,ortho_group
PBANKA_0104500,PBANKA_0104500.1,"conserved Plasmodium protein, unknown function",PF3D7_0605700,0,44,null,OG5_166973
PBANKA_0104600,PBANKA_0104600.1,"DNA repair protein RAD50, putative",PF3D7_0605800,0,44,RAD50,OG5_127792
PBANKA_0104700,PBANKA_0104700.1,"long chain polyunsaturated fatty acid elongation enzyme, putative",PF3D7_0605900,0,44,null,OG5_126732
PBANKA_0104800,PBANKA_0104800.1,"conserved Plasmodium protein, unknown function",PF3D7_0606000,0,44,null,OG5_166974
PBANKA_0104900,PBANKA_0104900.1,"RNA-binding protein, putative",PF3D7_0606100,0,45,null,OG5_150164
PBANKA_0105000,PBANKA_0105000.1,"ubiquitin-conjugating enzyme E2 PEX4, putative",PF3D7_0606200,0,44,PEX4,OG5_130212
PBANKA_0105100,PBANKA_0105100.1,"conserved Plasmodium protein, unknown function",PF3D7_0606400,0,44,null,OG5_166975
PBANKA_0105200,PBANKA_0105200.1,"polypyrimidine tract-binding protein, putative",PF3D7_0606500,0,44,PTB,OG5_127719
PBANKA_0105300,PBANKA_0105300.1,"conserved Plasmodium protein, unknown function",PF3D7_0606600,0,44,null,OG5_166976
PBANKA_0105400,PBANKA_0105400.1,"coatomer alpha subunit, putative",PF3D7_0606700,0,44,null,OG5_127808
PBANKA_0105500,PBANKA_0105500.1,glutaredoxin-like protein,PF3D7_0606900,0,44,GLP2,OG5_127633
PBANKA_0105600,PBANKA_0105600.1,"translation initiation factor IF-2, putative",PF3D7_0607000,0,45,null,OG5_127312
PBANKA_0105700,PBANKA_0105700.1,"MYND-type zinc finger protein, putative",PF3D7_0607100,0,45,null,OG5_130443
PBANKA_0105800,PBANKA_0105800.1,"RING zinc finger protein, putative",PF3D7_0607200,0,44,null,OG5_140481
PBANKA_0105900,PBANKA_0105900.1,uroporphyrinogen III decarboxylase,PF3D7_0607300,0,44,UROD,OG5_127347
PBANKA_0106000,PBANKA_0106000.1,"G-protein associated signal transduction protein, putative",PF3D7_0607400,0,45,null,OG5_127625
PBANKA_0106100,PBANKA_0106100.1,"4-hydroxybenzoate polyprenyltransferase, putative",PF3D7_0607500,0,45,COQ2,OG5_127332
PBANKA_0106200,PBANKA_0106200.1,spindle assembly abnormal protein 6,PF3D7_0607600,0,46,SAS6,OG5_129816
PBANKA_0106300,PBANKA_0106300.1,"conserved Plasmodium protein, unknown function",PF3D7_0607700,0,44,null,OG5_156822
PBANKA_0106400,PBANKA_0106400.1,"GTP-binding protein, putative",PF3D7_0607800,0,44,null,OG5_165218
PBANKA_0106500,PBANKA_0106500.1,"conserved Plasmodium protein, unknown function",PF3D7_0607900,0,44,null,OG5_166977
PBANKA_0106600,PBANKA_0106600.1,"diphthine methyltransferase, putative",PF3D7_0608000,0,43,DPH7,OG5_129020
PBANKA_0106700,PBANKA_0106700.1,"conserved Plasmodium protein, unknown function",PF3D7_0608100,0,47,null,OG5_172487
PBANKA_0106800,PBANKA_0106800.1,"conserved Plasmodium protein, unknown function",PF3D7_0608200,0,45,null,OG5_166978
PBANKA_0106900,PBANKA_0106900.1,"heptatricopeptide repeat-containing protein, putative","PF3D7_0608300,PF3D7_0608310",1,90,null,OG5_141545
PBANKA_0106950,PBANKA_0106950.1,"sorting assembly machinery 50 kDa subunit, putative","PF3D7_0608300,PF3D7_0608310",1,90,SAM50,OG5_141545
PBANKA_0107000,PBANKA_0107000.1,"conserved Plasmodium protein, unknown function",PF3D7_0608400,0,45,null,OG5_166979
PBANKA_0107100,PBANKA_0107100.1,"proteasome subunit alpha type-2, putative",PF3D7_0608500,0,43,null,OG5_127791
PBANKA_0107300,PBANKA_0107300.1,"T-complex protein 1 subunit zeta, putative",PF3D7_0608700,0,43,CCT6,OG5_127428
PBANKA_0107400,PBANKA_0107400.1,"ornithine aminotransferase, putative",PF3D7_0608800,0,44,OAT,OG5_126982
PBANKA_0107500,PBANKA_0107500.1,"conserved Plasmodium protein, unknown function",PF3D7_0608900,0,44,null,OG5_166980
PBANKA_0107600,PBANKA_0107600.1,"nucleoporin NUP637, putative",PF3D7_0609000,0,47,NUP637,OG5_153848
PBANKA_0107700,PBANKA_0107700.1,zinc transporter ZIP1,PF3D7_0609100,0,46,ZIP1,OG5_126707
PBANKA_0107800,PBANKA_0107800.1,"citrate synthase-like protein, putative",PF3D7_0609200,0,44,null,OG5_172686
PBANKA_0107900,PBANKA_0107900.1,"conserved Plasmodium protein, unknown function",PF3D7_0609300,0,44,null,OG5_166887
PBANKA_0108000,PBANKA_0108000.1,"mitochondrial cardiolipin synthase, putative",PF3D7_0609400,0,44,CLS,OG5_129472
PBANKA_0108100,PBANKA_0108100.1,"conserved Plasmodium protein, unknown function",PF3D7_0609500,0,45,null,OG5_166432
PBANKA_0108200,PBANKA_0108200.1,"conserved Plasmodium protein, unknown function",PF3D7_0609700,0,46,null,OG5_166981
PBANKA_0108300,PBANKA_0108300.1,palmitoyltransferase DHHC2,"PF3D7_0528400,PF3D7_0609800,PF3D7_1027900",2,131,DHHC2,OG5_126830
PBANKA_0108400,PBANKA_0108400.1,"conserved Plasmodium protein, unknown function",PF3D7_0609900,0,49,null,OG5_160935
PBANKA_0108500,PBANKA_0108500.1,"mitochondrial ribosomal protein L19 precursor, putative",PF3D7_0610000,0,44,null,OG5_144136
PBANKA_0108600,PBANKA_0108600.1,"pre-mRNA-splicing factor SLU7, putative",PF3D7_0610100,0,44,SLU7,OG5_128138
PBANKA_0108700,PBANKA_0108700.1,"RNA-binding protein 25, putative",PF3D7_0610200,0,45,RBM25,OG5_129375
PBANKA_0108800,PBANKA_0108800.1,"histone H3, putative","PF3D7_0610400,PF3D7_0617900",1,89,null,OG5_126569
PBANKA_0108900,PBANKA_0108900.1,"peptidyl-tRNA hydrolase PTRHD1, putative",PF3D7_0610500,0,44,null,OG5_130573
PBANKA_0109000,PBANKA_0109000.1,"conserved Plasmodium protein, unknown function",PF3D7_0610700,0,41,null,OG5_184618
PBANKA_0109100,PBANKA_0109100.1,"transketolase, putative",PF3D7_0610800,0,44,TK,OG5_126720
PBANKA_0109200,PBANKA_0109200.1,"transcription elongation factor SPT5, putative",PF3D7_0610900,0,44,SPT5,OG5_127919
PBANKA_0109300,PBANKA_0109300.1,"SNARE associated Golgi protein, putative",PF3D7_0611000,0,45,null,OG5_128091
PBANKA_0109400,PBANKA_0109400.1,"succinate dehydrogenase subunit 3, putative",PF3D7_0611100,0,44,SDH3,OG5_158054
PBANKA_0109500,PBANKA_0109500.1,"AP2 domain transcription factor, putative",PF3D7_0611200,0,43,ApiAP2,OG5_149592
PBANKA_0109600,PBANKA_0109600.1,"ATP synthase-associated protein, putative",PF3D7_0611300,0,43,null,OG5_147455
PBANKA_0109700,PBANKA_0109700.1,"SWIB/MDM2 domain-containing protein, putative",PF3D7_0611400,0,44,SWIB,OG5_163982
PBANKA_0109800,PBANKA_0109800.1,"conserved protein, unknown function",PF3D7_0611500,0,44,null,OG5_157159
PBANKA_0109900,PBANKA_0109900.1,"basal complex transmembrane protein 1, putative",PF3D7_0611600,0,44,BTP1,OG5_164905
PBANKA_0110000,PBANKA_0110000.1,"60S ribosomal protein L39, putative",PF3D7_0611700,0,41,null,OG5_127376
PBANKA_0110100,PBANKA_0110100.1,"conserved Plasmodium protein, unknown function","PF3D7_0105700,PF3D7_0611800,PF3D7_0926100,PF3D7_1107300,PF3D7_1136000,PF3D7_1146800,PF3D7_1222400,PF3D7_1222600,PF3D7_1317200,PF3D7_1337500",6,269,null,OG5_129463
PBANKA_0110200,PBANKA_0110200.1,"lsm12, putative",PF3D7_0611900,0,44,null,OG5_129741
PBANKA_0110300,PBANKA_0110300.1,"conserved Plasmodium protein, unknown function",PF3D7_0612000,0,44,null,OG5_166983
PBANKA_0110400,PBANKA_0110400.1,"eukaryotic translation initiation factor 3 subunit L, putative",PF3D7_0612100,0,44,EIF3L,OG5_128650
PBANKA_0110500,PBANKA_0110500.1,leucine-rich repeat protein,"PF3D7_0203000,PF3D7_0216700,PF3D7_0500800,PF3D7_0612200,PF3D7_0710200,PF3D7_1038400,PF3D7_1149000,PF3D7_1239800",5,300,LRR6,OG5_126585
PBANKA_0110600,PBANKA_0110600.1,"transmembrane protein 234, putative",PF3D7_0612300,0,39,TMEM234,OG5_130420
PBANKA_0110700,PBANKA_0110700.1,"conserved Plasmodium protein, unknown function",PF3D7_0612400,0,43,null,OG5_173783
PBANKA_0110800,PBANKA_0110800.1,"conserved Plasmodium protein, unknown function",PF3D7_0612500,0,43,null,OG5_166984
PBANKA_0110900,PBANKA_0110900.1,"cytoplasmic tRNA 2-thiolation protein 1, putative",PF3D7_0612600,0,44,NCS6,OG5_127415
PBANKA_0111000,PBANKA_0111000.1,"6-cysteine protein P12, putative",PF3D7_0612700,0,43,P12,OG5_166985
PBANKA_0111100,PBANKA_0111100.1,6-cysteine protein,PF3D7_0612800,0,45,P12p,OG5_166986
PBANKA_0111200,PBANKA_0111200.1,"nucleolar GTP-binding protein 1, putative",PF3D7_0612900,0,44,NOG1,OG5_127411
PBANKA_0111300,PBANKA_0111300.1,"conserved Plasmodium protein, unknown function",PF3D7_0613000,0,35,null,OG5_162065
PBANKA_0111300,PBANKA_0111300.2,"conserved Plasmodium protein, unknown function",PF3D7_0613000,0,35,null,OG5_162065
PBANKA_0111400,PBANKA_0111400.1,"conserved Plasmodium protein, unknown function",PF3D7_0613100,0,42,null,OG5_166987
PBANKA_0111500,PBANKA_0111500.1,"conserved Plasmodium protein, unknown function",PF3D7_0613200,0,42,null,OG5_205346
PBANKA_0111600,PBANKA_0111600.1,"rhoptry protein ROP14, putative",PF3D7_0613300,0,45,ROP14,OG5_133090
PBANKA_0111700,PBANKA_0111700.1,"50S ribosomal protein L18, apicoplast, putative",PF3D7_0613400,0,44,null,OG5_130467
PBANKA_0111800,PBANKA_0111800.1,"AP-3 complex subunit beta, putative",PF3D7_0613500,0,44,null,OG5_156671
PBANKA_0111900,PBANKA_0111900.1,"conserved Plasmodium protein, unknown function",PF3D7_0613600,0,44,null,OG5_166988
PBANKA_0112000,PBANKA_0112000.1,"syntaxin-binding protein, putative",PF3D7_0613700,0,44,null,OG5_127453
PBANKA_0112100,PBANKA_0112100.1,"AP2 domain transcription factor, putative",PF3D7_0613800,0,33,ApiAP2,OG5_159961
PBANKA_0112200,PBANKA_0112200.1,"myosin E, putative",PF3D7_0613900,0,48,myoE,OG5_166989
PBANKA_0112300,PBANKA_0112300.1,"conserved Plasmodium protein, unknown function","PF3D7_0614100,PF3D7_0614200",1,87,null,OG5_146564
PBANKA_0112400,PBANKA_0112400.1,"cytosolic Fe-S cluster assembly factor NAR1, putative","PF3D7_0614100,PF3D7_0614200",1,87,NAR1,OG5_146564
PBANKA_0112500,PBANKA_0112500.1,"major facilitator superfamily-related transporter, putative",PF3D7_0614300,0,44,MFR1,OG5_164658
PBANKA_0201700,PBANKA_0201700.1,"conserved Plasmodium protein, unknown function",PF3D7_0112100,0,44,null,OG5_173785
PBANKA_0201800,PBANKA_0201800.1,TatD-like deoxyribonuclease,PF3D7_0112000,0,43,TatD,OG5_126665
PBANKA_0201900,PBANKA_0201900.1,"conserved protein, unknown function",PF3D7_0111900,0,41,null,OG5_130534
PBANKA_0202000,PBANKA_0202000.1,"eukaryotic translation initiation factor 4E, putative",PF3D7_0111800,0,47,null,OG5_155007
PBANKA_0202100,PBANKA_0202100.1,"conserved protein, unknown function",PF3D7_0111700,0,43,null,OG5_162008
PBANKA_0202200,PBANKA_0202200.1,"conserved Plasmodium protein, unknown function",PF3D7_0111600,0,42,null,OG5_173664
PBANKA_0202300,PBANKA_0202300.1,"UMP-CMP kinase, putative",PF3D7_0111500,0,44,null,OG5_126886
PBANKA_0202400,PBANKA_0202400.1,"conserved Plasmodium protein, unknown function",PF3D7_0111400,0,45,null,OG5_160826
PBANKA_0202500,PBANKA_0202500.1,"P-loop containing nucleoside triphosphate hydrolase, putative",PF3D7_0111300,0,44,null,OG5_128937
PBANKA_0202600,PBANKA_0202600.1,"conserved protein, unknown function",PF3D7_0111200,0,44,null,OG5_156807
PBANKA_0202700,PBANKA_0202700.1,"kinesin-8, putative","PF3D7_0111000,PF3D7_0319400",1,88,null,OG5_127280
PBANKA_0202800,PBANKA_0202800.1,"adenylate kinase-like protein 1, putative",PF3D7_0110900,0,44,AKLP1,OG5_127564
PBANKA_0202900,PBANKA_0202900.1,"transcription initiation factor TFIIB, putative",PF3D7_0110800,0,44,null,OG5_127288
PBANKA_0203000,PBANKA_0203000.1,"chromatin assembly factor 1 protein WD40 domain, putative","PF3D7_0110700,PF3D7_1329300,PF3D7_1433300",2,132,null,OG5_127148
PBANKA_0203100,PBANKA_0203100.1,"phosphatidylinositol-4-phosphate 5-kinase, putative",PF3D7_0110600,0,47,PIP5K,OG5_126948
PBANKA_0203200,PBANKA_0203200.1,"bromodomain protein, putative",PF3D7_0110500,0,44,null,OG5_160929
PBANKA_0203300,PBANKA_0203300.1,"DNA-directed RNA polymerase II subunit RPB9, putative",PF3D7_0110400,0,45,RPB9,OG5_128243
PBANKA_0203400,PBANKA_0203400.1,"FAD-linked sulfhydryl oxidase ERV1, putative",PF3D7_0110200,0,44,ERV1,OG5_127535
PBANKA_0203500,PBANKA_0203500.1,"selenocysteine-specific elongation factor, putative",PF3D7_0110100,0,44,SELB,OG5_130322
PBANKA_0203600,PBANKA_0203600.1,"conserved Plasmodium protein, unknown function",PF3D7_0110000,0,41,null,OG5_166990
PBANKA_0203650,PBANKA_0203650.1,"conserved protein, unknown function","PF3D7_0109850,PF3D7_0109950",1,80,null,OG5_142475
PBANKA_0203750,PBANKA_0203750.1,"phosphatidate cytidylyltransferase, putative","PF3D7_0109850,PF3D7_0109950",1,80,null,OG5_142475
PBANKA_0203800,PBANKA_0203800.1,"phenylalanine--tRNA ligase alpha subunit, putative",PF3D7_0109800,0,44,null,OG5_127036
PBANKA_0203900,PBANKA_0203900.1,"rRNA biogenesis protein RRP36, putative",PF3D7_0109700,0,43,RRP36,OG5_129107
PBANKA_0204000,PBANKA_0204000.1,"cold-shock protein, putative",PF3D7_0109600,0,44,null,OG5_144134
PBANKA_0204100,PBANKA_0204100.1,"N-acetyltransferase, GNAT family, putative",PF3D7_0109500,0,44,null,OG5_128089
PBANKA_0204200,PBANKA_0204200.1,"tubulin-specific chaperone a, putative",PF3D7_0109400,0,44,null,OG5_128690
PBANKA_0204300,PBANKA_0204300.1,"fatty acid elongation protein, GNS1/SUR4 family, putative, pseudogene","PF3D7_0109300,PF3D7_0920000",1,78,null,OG5_127859
PBANKA_0204400,PBANKA_0204400.1,"cleavage and polyadenylation specificity factor subunit 5, putative",PF3D7_0109200,0,43,null,OG5_128813
PBANKA_0204500,PBANKA_0204500.1,"LCCL domain-containing protein, putative","PF3D7_0109100,PF3D7_1451600",1,88,CCp5,OG5_135662
PBANKA_0204600,PBANKA_0204600.1,photosensitized INA-labeled protein PHIL1,PF3D7_0109000,0,42,PHIL1,OG5_150593
PBANKA_0204700,PBANKA_0204700.1,"mitochondrial carrier protein, putative",PF3D7_0108800,0,42,null,OG5_157163
PBANKA_0204800,PBANKA_0204800.1,"secreted ookinete protein, putative",PF3D7_0108700,0,44,PSOP24,OG5_166991
PBANKA_0204900,PBANKA_0204900.1,"conserved protein, unknown function",PF3D7_0108600,0,44,null,OG5_147439
PBANKA_0205000,PBANKA_0205000.1,"conserved Plasmodium protein, unknown function",PF3D7_0108500,0,38,null,OG5_166112
PBANKA_0205100,PBANKA_0205100.1,"mitochondrial carrier protein, putative",PF3D7_0108400,0,48,null,OG5_131022
PBANKA_0205200,PBANKA_0205200.1,"conserved Plasmodium protein, unknown function",PF3D7_0108300,0,44,null,OG5_155060
PBANKA_0205300,PBANKA_0205300.1,"conserved protein, unknown function",PF3D7_0108100,0,44,null,OG5_160613
PBANKA_0205400,PBANKA_0205400.1,"proteasome subunit beta type-3, putative",PF3D7_0108000,0,45,null,OG5_127761
PBANKA_0205500,PBANKA_0205500.1,"conserved Plasmodium protein, unknown function",PF3D7_0107900,0,39,null,OG5_173786
PBANKA_0205600,PBANKA_0205600.1,"double-strand break repair protein MRE11, putative",PF3D7_0107800,0,44,MRE11,OG5_127969
PBANKA_0205700,PBANKA_0205700.1,"dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit OST3/OST6, putative",PF3D7_0107700,0,45,Pb51,OG5_166992
PBANKA_0205800,PBANKA_0205800.1,eukaryotic translation initiation factor 2-alpha kinase 2,PF3D7_0107600,0,24,eIK2,OG5_166993
PBANKA_0205900,PBANKA_0205900.1,"Niemann-Pick type C1-related protein, putative",PF3D7_0107500,0,44,NCR1,OG5_130495
PBANKA_0206000,PBANKA_0206000.1,"ATP synthase-associated protein, putative",PF3D7_0107400,0,44,null,OG5_147472
PBANKA_0206100,PBANKA_0206100.1,"CCR4 domain-containing protein 3, putative",PF3D7_0107200,0,44,CCR4-3,OG5_146800
PBANKA_0206200,PBANKA_0206200.1,"conserved protein, unknown function",PF3D7_0107100,0,44,null,OG5_156826
PBANKA_0206300,PBANKA_0206300.1,"centrin-1, putative",PF3D7_0107000,0,43,CEN1,OG5_128884
PBANKA_0206400,PBANKA_0206400.1,"2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase, putative",PF3D7_0106900,0,43,IspD,OG5_164699
PBANKA_0206500,PBANKA_0206500.1,"ras-related protein Rab-5C, putative",PF3D7_0106800,0,44,RAB5c,OG5_126724
PBANKA_0206600,PBANKA_0206600.1,"asparagine and aspartate rich protein 2, putative",PF3D7_0106700,0,43,null,OG5_127790
PBANKA_0206700,PBANKA_0206700.1,"conserved Plasmodium protein, unknown function",PF3D7_0106600,0,40,null,OG5_152488
PBANKA_0206800,PBANKA_0206800.1,"conserved Plasmodium protein, unknown function",PF3D7_0106500,0,31,null,OG5_173787
PBANKA_0206900,PBANKA_0206900.1,"pre-rRNA-processing protein TSR2, putative",PF3D7_0106400,0,44,null,OG5_129326
PBANKA_0207000,PBANKA_0207000.1,"calcium-transporting ATPase, putative","PF3D7_0106300,PF3D7_1211900",1,89,SERCA,OG5_126674
PBANKA_0207100,PBANKA_0207100.1,"EF hand domain-containing protein, putative",PF3D7_0106200,0,44,null,OG5_166994
PBANKA_0207200,PBANKA_0207200.1,"V-type proton ATPase subunit C, putative",PF3D7_0106100,0,44,null,OG5_127946
PBANKA_0207300,PBANKA_0207300.1,"conserved protein, unknown function",PF3D7_0106000,0,49,null,OG5_143230
PBANKA_0207400,PBANKA_0207400.1,"3'-5' exonuclease, putative",PF3D7_0105900,0,45,null,OG5_146568
PBANKA_0207500,PBANKA_0207500.1,"cyclin-dependent kinases regulatory subunit, putative",PF3D7_0105800,0,44,null,OG5_166522
PBANKA_0207700,PBANKA_0207700.1,"conserved Plasmodium protein, unknown function",PF3D7_0105600,0,45,null,OG5_163948
PBANKA_0207800,PBANKA_0207800.1,"conserved protein, unknown function",PF3D7_0105500,0,43,null,OG5_150528
PBANKA_0207900,PBANKA_0207900.1,"conserved Plasmodium protein, unknown function",PF3D7_0105400,0,41,null,OG5_173788
PBANKA_0208000,PBANKA_0208000.1,cyclase-associated protein,PF3D7_0105300,0,48,C-CAP,OG5_127770
PBANKA_0208100,PBANKA_0208100.1,"heptatricopeptide repeat and RAP domain-containing protein, putative",PF3D7_0105200,0,44,null,OG5_150594
PBANKA_0208200,PBANKA_0208200.1,"conserved Plasmodium protein, unknown function",PF3D7_0105100,0,44,null,OG5_153583
PBANKA_0208300,PBANKA_0208300.1,novel putative transporter 1,PF3D7_0104800,0,45,NPT1,OG5_137972
PBANKA_0208400,PBANKA_0208400.1,"major facilitator superfamily-related transporter, putative",PF3D7_0104700,0,44,MFR2,OG5_158075
PBANKA_0208500,PBANKA_0208500.1,"conserved Plasmodium protein, unknown function",PF3D7_0104600,0,44,null,OG5_147442
PBANKA_0208600,PBANKA_0208600.1,"conserved protein, unknown function",PF3D7_0104500,0,44,null,OG5_136245
PBANKA_0208700,PBANKA_0208700.1,"4-hydroxy-3-methylbut-2-enyl diphosphate reductase, putative",PF3D7_0104400,0,44,LytB,OG5_130373
PBANKA_0208800,PBANKA_0208800.1,"ubiquitin carboxyl-terminal hydrolase 1, putative",PF3D7_0104300,0,48,UBP1,OG5_146935
PBANKA_0208900,PBANKA_0208900.1,"StAR-related lipid transfer protein, putative",PF3D7_0104200,0,44,null,OG5_165382
PBANKA_0209000,PBANKA_0209000.1,"conserved Plasmodium protein, unknown function",PF3D7_0104100,0,44,null,OG5_166995
PBANKA_0209100,PBANKA_0209100.1,thrombospondin-related sporozoite protein,PF3D7_0104000,0,44,TRSP,OG5_166471
PBANKA_0209200,PBANKA_0209200.1,parasite-infected erythrocyte surface protein,PF3D7_0103900,0,43,PIESP15,OG5_146522
PBANKA_0209300,PBANKA_0209300.1,actin-related protein,PF3D7_0103800,0,44,ARP1,OG5_129186
PBANKA_0209400,PBANKA_0209400.1,"L-seryl-tRNA(Sec) kinase, putative",PF3D7_0103700,0,43,PSTK,OG5_172472
PBANKA_0209500,PBANKA_0209500.1,"ATP-dependent RNA helicase, putative",PF3D7_0103600,0,43,null,OG5_155370
PBANKA_0209600,PBANKA_0209600.1,"conserved Plasmodium protein, unknown function",PF3D7_0103500,0,42,null,OG5_166996
PBANKA_0209700,PBANKA_0209700.1,"zinc-carboxypeptidase, putative",PF3D7_0103400,0,43,null,OG5_127925
PBANKA_0209800,PBANKA_0209800.1,"conserved protein, unknown function",PF3D7_0103300,0,44,null,OG5_153624
PBANKA_0209900,PBANKA_0209900.1,"nucleoside transporter 4, putative",PF3D7_0103200,0,44,NT4,OG5_166997
PBANKA_0210000,PBANKA_0210000.1,"vacuolar protein sorting-associated protein 51, putative",PF3D7_0103100,0,45,VPS51,OG5_166536
PBANKA_0210100,PBANKA_0210100.1,"vacuolar protein sorting-associated protein VTA1, putative",PF3D7_0103000,0,43,null,OG5_129256
PBANKA_0210200,PBANKA_0210200.1,"aspartate--tRNA ligase, putative",PF3D7_0102900,0,43,null,OG5_127227
PBANKA_0210300,PBANKA_0210300.1,"seipin domain-containing protein, putative",PF3D7_0102800,0,44,null,OG5_166998
PBANKA_0210400,PBANKA_0210400.1,"DNA mismatch repair protein PMS1, putative",PF3D7_0726300,0,44,PMS1,OG5_128001
PBANKA_0210500,PBANKA_0210500.1,"conserved Plasmodium protein, unknown function",PF3D7_0726400,0,45,null,OG5_161411
PBANKA_0210600,PBANKA_0210600.1,"ubiquitin carboxyl-terminal hydrolase, putative",PF3D7_0726500,0,46,null,OG5_127773
PBANKA_0210700,PBANKA_0210700.1,"conserved Plasmodium protein, unknown function",PF3D7_0726600,0,44,null,OG5_153853
PBANKA_0210800,PBANKA_0210800.1,"conserved Plasmodium protein, unknown function",PF3D7_0726700,0,44,null,OG5_166999
PBANKA_0210900,PBANKA_0210900.1,"dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit OST2, putative",PF3D7_0726800,0,39,OST2,OG5_129124
PBANKA_0211000,PBANKA_0211000.1,"mitochondrial import inner membrane translocase subunit TIM50, putative",PF3D7_0726900,0,44,TIM50,OG5_128978
